dfs_newsanalyticsid,createdon,dfs_title,dfs_description,dfs_sourceurl,dfs_primaryeventlocation,dfs_firsteventcountry,dfs_secondeventcountry,dfs_eventsignificance,dfs_eventcode,dfs_eventdate,dfs_rating,crd69_cyberprocessed,crd69_disasterprocessed
FEE684CB-552F-F011-8C4E-7C1E52469F7D,2025-05-12 17:23:26.0000000,Starmer delivers some home truths in Labour’s great immigration reset | John Crace,"<p>A week after Reform cleans up at the local elections, the prime minister decides it’s time to ‘take back control’</p><p>You know how it is. You get on the 87 at the Vauxhall depot and you suddenly realise you know no one on the bus. Time was when everyone in the queue would have been best mates. Off for pie, mash and jellied eels together before a knees up down the Old Bull and Bush. Worse still, some people may not even be talking English. We didn’t beat the Hun in two world wars to hear German spoken on public transport.</p><p>Then there are all those Polish supermarkets. Who asked them to come over here, pay their taxes and business rates and set up on the high street? They don’t even have the grace to relabel their produce in English. And why can’t they sell something quintessentially British? Like Lurpak. What do you mean, that’s Danish? Butter was invented by the Brits.</p> <a href=""https://www.theguardian.com/politics/2025/may/12/starmer-delivers-some-home-truths-in-labours-",https://www.theguardian.com/politics/2025/may/12/starmer-delivers-some-home-truths-in-labours-great-immigration-reset,Local,United Kingdom,N/A,Nation,Immigration and Refugees,2025-05-12 17:00:38.0000000,137.70000000000000000,0,0
46648256-3D2F-F011-8C4E-7C1E52469F7D,2025-05-12 14:28:24.0000000,"Zapp EV Reminds Shareholders to Vote Before Annual General Meeting on May 15, 2025","<link type=""text/css"" rel=""stylesheet"" href=""https://www.globenewswire.com/styles/gnw_nitf.css"" />
<p align=""justify"">LONDON, May  12, 2025  (GLOBE NEWSWIRE) -- <a href=""https://www.globenewswire.com/Tracker?data=1zavDR1AF6sNrvaC_eEz9v9V5E3PMra-TYhDy5FsOiEs-VCVCDixSKRt0CZsNObTMcpSSJhA3K8pdD0b-CZav0JFl0E8xMbgpTy_FZ6OrIZPUm8e_O_AMwg93NmM7AOd"" rel=""nofollow"" target=""_blank"" rel=""nofollow"">Zapp Electric Vehicles Group Limited</a> (NASDAQ:<a class=""ticker"" href=""https://www.benzinga.com/stock/ZAPP#NASDAQ"" rel=""nofollow"">ZAPP</a>) (""Zapp EV"" or the ""Company""), owner of ""Zapp"", the British electric vehicle brand on a mission to revolutionise personal urban mobility, reminds shareholders to vote their proxy in favor of the Company&#039;s proposals prior to the annual general meeting of shareholders (the ""Annual Meeting"") scheduled to be held on May 15, 2025 at 2 p.m. Greenwich Mean Time (10 a.m. Eastern Daylight Time).</p>
<p align=""justify""><strong>Jeremy North, President of Zapp EV</strong>",https://www.benzinga.com/pressreleases/25/05/g45349722/zapp-ev-reminds-shareholders-to-vote-before-annual-general-meeting-on-may-15-2025,Annual General Meeting,Not applicable,Not applicable,Global,Corporate News,2025-05-12 14:05:08.0000000,100.80000000000000000,0,0
46872C44-262F-F011-8C4E-7C1E52469E63,2025-05-12 11:43:07.0000000,Bengaluru traffic: Zerodha's Nikhil Kamath asks for a solution from top cop; he says the only way is THIS,"While the implementation of public transport infrastructure has taken some time, a change will be visible when things are all set, Bengaluru Joint Commissioner of Police, Traffic, MN Anucheth said.",https://www.livemint.com/news/bengaluru-traffic-zerodhas-nikhil-kamath-asks-for-a-solution-from-top-cop-he-says-the-only-way-is-this-11747047933685.html,Bengaluru,India,Not applicable,Local,Corporate News,2025-05-12 11:42:09.0000000,167.04000000000000000,0,0
A4EF872C-252F-F011-8C4E-7C1E52469E63,2025-05-12 11:35:20.0000000,"Women Hang Onto Moving Train After 40-Minute Delay Of Kalyan Ladies Special, Railways Reacts",The video sparked widespread concern and discussion about the need for better public transportation infrastructure in the city.,https://www.ndtv.com/india-news/women-hang-onto-moving-train-after-40-minute-delay-of-kalyan-ladies-special-railways-reacts-8394606#publisher=newsstand,City,Not applicable,Not applicable,Local,Public Transportation Event,2025-05-12 11:00:49.0000000,16.80000000000000000,0,0
8C191467-F62E-F011-8C4D-7C1E527DC3AB,2025-05-12 06:00:36.0000000,"YWCA lodges plans with Qld government for new 16-unit social, affordable housing project in ...",A national community housing provider has outlined plans for a three-storey social accommodation development in one of Toowoomba’s leafiest suburbs.,https://www.thechronicle.com.au/news/development/ywca-lodges-plans-with-qld-government-for-new-16unit-social-affordable-housing-project-in-east-toowoomba/news-story/90f2786f4a5c6a2bd43aa795663a9a40,"Toowoomba, Australia",Australia,N/A,Local,Affordable Housing Development,2025-05-12 05:00:00.0000000,NULL,0,0
65EF1AF5-1E2E-F011-8C4D-7C1E527DC3AB,2025-05-11 04:18:20.0000000,"Four shot, including 3 teens, on SEPTA Bus in Philadelphia","<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/121071696.cms"" />A shooting on a crowded SEPTA Route 15 bus in Philadelphia's Fairmount Park injured four people, including three teenagers. The suspect, described as a man in his 40s, opened fire, prompting a manhunt. While the victims are in stable condition, the incident has shaken public confidence in public transportation, leading a frequent passenger to reconsider her commute.",https://timesofindia.indiatimes.com/world/us/extremely-frightening-incident-four-shot-including-3-teens-on-septa-bus-in-philadelphia/articleshow/121071696.cms,Philadelphia,United States,Not applicable,Local,Mass Shooting Event,2025-05-11 04:05:38.0000000,242.88000000000000000,0,0
9CD1321F-EA2D-F011-8C4E-7C1E520A55FA,2025-05-10 22:00:03.0000000,Sunshine Coast residents forced out as approval revoked for affordable housing,"Long-time resident Narelle Lockett has left the area because she couldn't find an affordable place to live. Despite the region's housing crisis, multiple developments are being put on pause or knocked back.",https://www.abc.net.au/news/2025-05-11/affordable-housing-projects-revoked-sunshine-coast/105092264,Australia,Australia,N/A,Local,Citizen Hardship Event,2025-05-10 21:52:00.0000000,126.40000000000000000,0,0
99CE98D3-7B2D-F011-8C4E-7C1E52469F7D,2025-05-10 08:50:35.0000000,Heavy rain lashes parts of Delhi,"Delhi experienced heavy rainfall on Saturday, offering respite from rising temperatures, as predicted by the IMD. The city's maximum temperature on Friday was 36.7 degrees Celsius, while the minimum was 25.7 degrees Celsius. Air quality remained in the ""moderate"" category with an AQI of 151, according to the CPCB, indicating acceptable air quality with potential minor discomfort for sensitive groups.",https://timesofindia.indiatimes.com/city/delhi/delhi-weather-heavy-rain-lashes-city-air-quality-remains-moderate/articleshow/121053044.cms,Delhi,India,Not applicable,Local,Regional Weather,2025-05-10 08:10:50.0000000,174.00000000000000000,0,0
FC4570C2-BE2C-F011-8C4E-7C1E520A55FA,2025-05-09 10:17:13.0000000,Germany's socialist Left Party is flying high,"<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/121026388.cms"" />The Left Party in Germany is enjoying a resurgence after a surprising election result. The party is planning its future strategy at a national conference in Chemnitz. Affordable housing and pacifism are key issues. The party advocates for diplomatic solutions to the Russia-Ukraine conflict. Membership has almost doubled to 112,000 since the end of 2024..",https://timesofindia.indiatimes.com/world/europe/germanys-socialist-left-party-is-flying-high/articleshow/121026388.cms,Germany,Germany,N/A,Nation,Political Scandal,2025-05-09 10:03:04.0000000,480.60000000000000000,0,0
C7FCDEDC-572C-F011-8C4D-7C1E52469E63,2025-05-08 22:00:38.0000000,All aboard! Campaigners demand free travel for Londoners to 'open up the city' to all residents,All aboard! Campaigners demand free travel for Londoners to 'open up the city' to all residents - Mayor urged to follow lead of cities in Brazil and offer free public transport,https://www.msn.com/en-gb/news/uknews/all-aboard-campaigners-demand-free-travel-for-londoners-to-open-up-the-city-to-all-residents/ar-AA1EpQlh,London,UK,Brazil,Local,Public Transportation Event,2025-05-08 17:01:00.0000000,95.20000000000000000,0,0
