dfs_newsanalyticsid,createdon,dfs_title,dfs_description,dfs_sourceurl,dfs_primaryeventlocation,dfs_firsteventcountry,dfs_secondeventcountry,dfs_eventsignificance,dfs_eventcode,dfs_eventdate,dfs_rating,crd69_cyberprocessed,crd69_disasterprocessed
79BB8A15-1F25-F011-8C4D-7C1E527DC3AB,2025-04-29 17:26:31.0000000,'Wood you believe it?' Engineers fortify wood with eco-friendly nano-iron,"With more than 181.5 billion tons of wood produced globally each year, a new method could revolutionize how we build sustainably. By infusing red oak with ferrihydrite using a simple, low-cost process, researchers strengthened the wood at the cellular level without adding weight or altering flexibility -- offering a durable, eco-friendly alternative to steel and concrete. The treated wood retains its natural behavior but gains internal durability -- paving the way for greener alternatives in construction, furniture and flooring.",https://www.sciencedaily.com/releases/2025/04/250428221705.htm,Global,Not applicable,Not applicable,Global,Environmental News,2025-04-28 22:17:05.0000000,81.90000000000000000,0,0
C347ECB8-7B24-F011-8C4D-7C1E527DC3AB,2025-04-28 21:57:13.0000000,"Waste Management Stock Dips On Mixed Q1 Results, Company Says It's 'On Pace' To Achieve 2025 Outlook","<p><strong>Waste Management Inc </strong>(NYSE:<a class=""ticker"" href=""https://www.benzinga.com/stock/WM#NYSE"">WM</a>) reported mixed first-quarter financial results after the bell on Monday, and shares are moving lower. Here&#8217;s a rundown <a href=""https://www.benzinga.com/pressreleases/25/04/b45054510/wm-announces-first-quarter-2025-earnings"">of the report</a>.</p>
<ul>
<li><strong>Q1 Revenue:</strong> $6.02 billion, versus <a href=""https://www.benzinga.com/calendars/earnings"">estimates</a> of $6.12 billion</li>
</ul>
<ul>
<li><strong>Q1 Adjusted EPS:</strong> $1.67, versus estimates of $1.62</li>
</ul>
<p>Total revenue was up 16.7% on a year-over-year basis. Waste Management said it generated $1.21 billion in cash from operations during the quarter, resulting in $475 million in free cash flow, in line with company expectations.</p>
<p>The ...</p><p><a href=https://www.benzinga.com/news/earnings/25/04/45055394/waste-management-stock-dips-on-mixed-q1-results-company-says-its-on-pa",https://www.benzinga.com/news/earnings/25/04/45055394/waste-management-stock-dips-on-mixed-q1-results-company-says-its-on-pace-to-achieve-2025-outlook,Mixed Q1 Results,United States,N/A,Nation,Major Corporate Acquisition,2025-04-28 21:54:15.0000000,364.32000000000000000,0,0
B0D58450-F319-F011-998A-7C1E520A55FA,2025-04-15 12:15:29.0000000,Dragons' Den indoor dog toilet inventor sues rival at High Court over claims she copied her 'Piddle Patch' eco-friendly litter tray,"Rebecca Sloan, 39, appeared on the show in 2022, having first trademarked her product - real turf in a biodegradable litter tray for housetraining dogs - in 2016.",https://www.dailymail.co.uk/news/article-14613755/dragons-den-indoor-dog-toilet-sues-rival-high-court.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,High Court,Not specified,Not specified,Local,Corporate Legal Dispute,2025-04-15 11:49:58.0000000,NULL,0,0
DD9B8620-FB19-F011-998A-7C1E520A55FA,2025-04-15 13:11:27.0000000,EnergySolutions Secures U.S. Department of Navy Contracts to Support the Naval Nuclear Propulsion Program (NNPP),"<link type=""text/css"" rel=""stylesheet"" href=""https://www.globenewswire.com/styles/gnw_nitf.css"" />
<p align=""left"">SALT LAKE CITY, April  15, 2025  (GLOBE NEWSWIRE) -- Energy<em>Solutions</em>, a leading provider of nuclear services headquartered in Salt Lake City, Utah, is pleased to announce the award of two new U.S. Navy Indefinite Delivery Indefinite Quantity (IDIQ) contracts to support waste management operations across multiple Naval Nuclear Propulsion Program (NNPP) sites. These contracts will enable the secure transportation, receipt, processing, recycling and reduction, and disposal of nuclear materials from key Naval sites nationwide.</p>
<p>One contract is the Corporate Recycling and Volume Reduction Contract (CRVRC) and the other is for treatment and disposal of Mixed Low-Level Waste (MLLW) across all conus nuclear naval shipyards at Energy<em>Solutions</em>&#39; Clive ...</p><p><a href=https://www.benzinga.com/pressreleases/25/04/g44811527/energysolutions-secures-u-s-depa",https://www.benzinga.com/pressreleases/25/04/g44811527/energysolutions-secures-u-s-department-of-navy-contracts-to-support-the-naval-nuclear-propulsion-p,U.S. Department of Navy,United States,Not applicable,National,Military and Defense,2025-04-15 12:40:08.0000000,480.24000000000000000,0,0
FC236EEC-011A-F011-998A-7C1E52469F7D,2025-04-15 14:00:09.0000000,Economic Watch: China expands circular economy to turn waste into wealth,"At a resource recycling center, batches of discarded cables are sorted, dismantled, cleaned and repackaged, transforming waste into valuable raw materials like copper and aluminum for reuse. This center belongs to State Grid Xuzhou Power Supply Company,",http://www.china.org.cn/china/Off_the_Wire/2025-04/15/content_117825676.htm,Resource recycling center,Australia,Not applicable,Local,Energy and Resource News,2025-04-15 13:23:00.0000000,101.12000000000000000,0,0
F975A481-131A-F011-998A-7C1E52469F7D,2025-04-15 16:06:00.0000000,How Britain could forge a steelmaking revolution despite British Steel’s woes | Letters,"<p><strong>Euan G Nisbet</strong> suggests a way the UK steel industry could be saved and become a world leader. Plus letters from others responding to the crisis at Chinese-owned British Steel</p><p>The plight of British Steel is an opportunity for a transformative change in the way steel is made (<a href=""https://www.theguardian.com/commentisfree/2025/apr/10/the-guardian-view-on-steel-on-the-brink-britains-last-blast-furnaces-face-extinction"">Editorial, 10 April</a>). Blast furnaces depend on coal, and steelmaking emits well over a tonne of CO<sub>2</sub> for every tonne of steel, producing roughly a tenth of global CO<sub>2</sub> emissions. Using electric arc furnaces gets around this by recycling scrap metal, but doesn’t address the primary problem.</p><p>There are promising alternatives. These include making steel with hydrogen, and more advanced options such as the all-electric projects being supported by the US’s Advanced Research Projects Agency-Energy (Arpa-E). Scunthorpe is ",https://www.theguardian.com/business/2025/apr/15/how-britain-could-forge-a-steelmaking-revolution-despite-british-steels-woes,UK,UK,US,Nation,Manufacturing and Engineering News,2025-04-15 15:44:07.0000000,183.06000000000000000,0,0
B69B8F20-881A-F011-998A-7C1E520A55FA,2025-04-16 06:00:46.0000000,"Recycling firm, boss cop largest fine over toxic blaze",A recycling company and its former boss have been slapped with a $1.28 million fine over a massive blaze that shrouded several suburbs in toxic smoke.,https://au.news.yahoo.com/recycling-plant-director-fined-1-025119803.html,Several suburbs in Australia,Australia,Not applicable,Local,Hazardous Industrial Accident,2025-04-16 01:12:00.0000000,284.40000000000000000,0,0
D6A2FCB9-DC1A-F011-9989-7C1E527DC3AB,2025-04-16 16:06:23.0000000,Comstock surges after entering solar recycling partnership with RWE,NULL,https://seekingalpha.com/news/4431715-comstock-surges-after-entering-solar-recycling-partnership-with-rwe?utm_source=feed_news_all&utm_medium=referral&feed_item_type=news,Comstock,United States,Germany,International,Energy and Resource News,2025-04-16 15:41:17.0000000,438.72000000000000000,0,0
11F53812-001B-F011-998A-7C1E520A55FA,2025-04-16 20:19:19.0000000,"BRODSKY & SMITH SHAREHOLDER UPDATE: Notifying Investors of the Following Investigations: Radius Recycling, Inc. (Nasdaq - RDUS), Vacasa, Inc. (Nasdaq - VCSA), ProAssurance Corporation (NYSE - PRA)","<link type=""text/css"" rel=""stylesheet"" href=""https://www.globenewswire.com/styles/gnw_nitf.css"" />
<p>BALA CYNWYD, Pa., April  16, 2025  (GLOBE NEWSWIRE) -- Brodsky &amp; Smith reminds investors of the following investigations. If you own shares and wish to discuss the investigation, contact Jason Brodsky (<a href=""https://www.globenewswire.com/Tracker?data=zdSgk_ho5-o00BkCIbxemPoNq4ELYuC-Aqp3Q-0SFrJEs2SA84klHZvnxC58nn9m4gpcik3YsVEkk5Ggn_XEIXleU6jQ98Qv643FRwho3TQF_TYDrxcjLvpRCN55yY9E"" rel=""nofollow"" target=""_blank"" rel=""nofollow"">jbrodsky@brodskysmith.com</a>) or Marc Ackerman (<a href=""https://www.globenewswire.com/Tracker?data=tIsXlJ54_rv6GJTOhITMStDhmkjtztqqH09JRgxHrKVZlxzV3La9ccrPxqLuTquWYUdNQStw1TC8G3lKrqLTUWFg31bgiN2JAT-CxgfVAbM1b54Y_NAC1YYScGpEclNJ"" rel=""nofollow"" target=""_blank"" rel=""nofollow"">mackerman@brodskysmith.com</a>) at 855-576-4847. There is no cost or financial obligation to you.</p>
<p><strong>Radius Recycling, Inc. (Nasdaq - RDUS)</strong></p>
<p align=""justify"">Un",https://www.benzinga.com/pressreleases/25/04/g44851628/brodsky-smith-shareholder-update-notifying-investors-of-the-following-investigations-radius-recycl,United States,United States,United States,Nation,Corporate News,2025-04-16 20:01:42.0000000,496.80000000000000000,0,0
079D2745-0E1B-F011-998A-7C1E520A55FA,2025-04-16 22:01:05.0000000,"Trash, fire, police, recreation tax renewals to go before Ypsilanti Township voters","Millage renewals for recreation, trash and recycling, police and fire services are slated to go before Ypsilanti Township voters this August. Tax rates wouldn’t increase under the proposals the",https://www.msn.com/en-us/news/us/trash-fire-police-recreation-tax-renewals-to-go-before-ypsilanti-township-voters/ar-AA1D3Chx,Ypsilanti Township,United States,N/A,Local,Local Economic Event,2025-04-16 20:04:00.0000000,139.84000000000000000,0,0
