dfs_newsanalyticsid,createdon,dfs_title,dfs_description,dfs_sourceurl,dfs_primaryeventlocation,dfs_firsteventcountry,dfs_secondeventcountry,dfs_eventsignificance,dfs_eventcode,dfs_eventdate,dfs_rating,crd69_cyberprocessed,crd69_disasterprocessed
F31D4A78-F72F-F011-8C4E-7C1E52469F7D,2025-05-13 12:40:42.0000000,Climate risk threatens to widen the racial wealth gap,"<p xmlns=""http://www.w3.org/1999/xhtml"" class=""prntac""><i xmlns=""http://www.w3.org/1999/xhtml"">Homeowners of color are more likely to face major climate hazards — and the rising costs that come with them</i></p>
<ul xmlns=""http://www.w3.org/1999/xhtml"" type=""disc"">
<li xmlns=""http://www.w3.org/1999/xhtml"">Hispanic homeowners are more likely than white homeowners to own homes at major risk of wildfire. Black homeowners are more likely to face extreme wind.</li>
<li xmlns=""http://www.w3.org/1999/xhtml"">The costs of homeownership are rising in high-risk areas, disproportionately affecting communities of color.</li>
<li xmlns=""http://www.w3.org/1999/xhtml"">These rising costs could limit wealth-building opportunities for homeowners of color and widen the racial wealth gap.</li>
</ul>
<p xmlns=""http://www.w3.org/1999/xhtml""><span xmlns=""http://www.w3.org/1999/xhtml"" class=""legendSpanClass""><span xmlns=""http://www.w3.org/1999/xhtml"" class=""xn-location"">SEATTLE</span></span>, <span xmlns=""htt",https://www.benzinga.com/pressreleases/25/05/n45372670/climate-risk-threatens-to-widen-the-racial-wealth-gap,United States,United States,N/A,Nation,Inequality News,2025-05-13 12:00:00.0000000,149.04000000000000000,0,0
FD43EAB1-C42F-F011-8C4E-7C1E520A55FA,2025-05-13 06:37:19.0000000," Nigeria has a food security problem as water for crops is harder to find","Climate change is challenging agriculture in Nigeria, Africa&rsquo;s most populous country",https://abcnews.go.com/International/wireStory/nigeria-food-security-problem-water-crops-harder-find-121738489,Nigeria,Nigeria,Not applicable,Nation,Food Supply and Inventory Event,2025-05-13 06:03:51.0000000,285.12000000000000000,0,0
EB5AAE9E-BE2F-F011-8C4D-7C1E527DC3AB,2025-05-13 05:53:48.0000000,Sussan Ley leaves possibility open of Coalition abandoning net zero targets but insists ‘there won’t be a climate war’,"<p>Liberal party’s first female leader narrowly defeats Angus Taylor with 29 ballot votes to 25, as Ted O’Brien elected deputy</p><ul><li><a href=""https://www.theguardian.com/australia-news/live/2025/may/13/australia-news-live-sussan-ley-angus-taylor-liberal-leadership-ballot-jim-chalmers-anthony-albanese-labor-economy-ntwnfb"">Australia news live: latest politics updates</a></li><li><a href=""https://www.theguardian.com/australia-news/australian-election-2025"">See our full coverage of the Australian election</a></li><li>Get our <a href=""https://www.theguardian.com/email-newsletters?CMP=cvau_sfl"">breaking news email</a>, <a href=""https://app.adjust.com/w4u7jx3"">free app</a> or <a href=""https://www.theguardian.com/australia-news/series/full-story?CMP=cvau_sfl"">daily news podcast</a></li></ul><p>Sussan Ley has left open the possibility the Coalition could abandon net zero emissions targets, but insists she is not interested in restarting Australia’s bitter climate wars.</p><p>In her first",https://www.theguardian.com/australia-news/2025/may/13/sussan-ley-liberal-party-leader-leadership-vote-contest,Australia,Australia,Not applicable,Nation,Elections and Voting,2025-05-13 05:34:55.0000000,142.20000000000000000,0,0
7B183817-942F-F011-8C4E-7C1E52469F7D,2025-05-13 00:49:17.0000000,"The EPA didn't release its annual U.S. greenhouse gas report, but we got the data",The Environmental Defense Fund published the Inventory of U.S. Greenhouse Gas Emissions and Sinks this week after filing a Freedom of Information Act request last month.,https://www.cbsnews.com/news/greenhouse-gas-emissions-inventory-report-2025/,U.S.,U.S.,Not applicable,Nation,Climate Change Report,2025-05-13 00:34:01.0000000,629.28000000000000000,0,0
96569EBD-A429-F011-8C4D-7C1E527DC3AB,2025-05-05 11:33:28.0000000,First Tony Blair and now David Blunkett: Ex-home secretary becomes the latest Labour grandee to warn against Keir Starmer's Net Zero push,The former home secretary said a failure to reduce energy prices in Britain would see Labour's green policies become 'electorally toxic'.,https://www.dailymail.co.uk/news/article-14679169/First-Tony-Blair-David-Blunkett-Ex-home-secretary-latest-Labour-grandee-warn-against-Keir-Starmers-Net-Zero-push.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,UK,UK,UK,National,Political Scandal,2025-05-05 10:58:40.0000000,438.75000000000000000,0,0
A8DBEAE5-A629-F011-8C4D-7C1E527DC3AB,2025-05-05 11:48:48.0000000,Is Tony Blair a ‘serious threat’ to climate policy – or out of touch?,"<p>Before his call for a net zero ‘reset’, there has been criticism of ex-PM’s lucrative links with fossil fuel nations</p><p>From the lush gardens of the Four Seasons luxury hotel in Sharm el-Sheikh, amid banks of bougainvillaea and trailing jasmine, green lawns and air-conditioned courtyards, the surrounding desert is kept at bay by hidden sprinklers, and the chaotic poverty of the rest of Egypt by high walls and discreet security.</p><p>In late 2022, on the sidelines of the Cop27 UN climate conference, the former UK prime minister Tony Blair was holding <a href=""https://www.theguardian.com/politics/2022/nov/12/devastating-impact-tony-blair-hits-out-at-pms-slashing-of-overseas-aid"">high-level meetings with senior figures from politics and business</a>. His role in the negotiations raised questions for some, who began to worry that, having been a respected elder statesman on the subject – one who as prime minister crafted the UK’s first real climate measures, and made it the <a href=",https://www.theguardian.com/environment/2025/may/05/tony-blair-serious-threat-climate-policy-out-of-touch,"Sharm el-Sheikh, Egypt",Egypt,United Kingdom,International,Climate Change Report,2025-05-05 11:17:09.0000000,741.00000000000000000,0,0
8E73325F-FC29-F011-8C4E-7C1E520A55FA,2025-05-05 22:00:43.0000000,Artificial oxygen supply in coastal waters: A hope with risks,"Could the artificial introduction of oxygen revitalise dying coastal waters? While oxygenation approaches have already been proven successful in lakes, their potential side effects must be carefully analysed before they can be used in the sea. This is the conclusion of researchers from GEOMAR Helmholtz Centre for Ocean Research Kiel and Radboud University in the Netherlands. In an article in the scientific journal EOS, they warn: Technical measures can mitigate damage temporarily and locally, but they are associated with considerable uncertainties and risks. Above all, they do not offer a permanent solution because the oxygen content will return to its previous level once the measures end, unless the underlying causes of the problem, nutrient inputs and global warming, are not tackled.",https://www.sciencedaily.com/releases/2025/05/250505121618.htm,Coastal waters,Not applicable,Netherlands,International,Environmental News,2025-05-05 12:16:18.0000000,161.46000000000000000,0,0
9EFBC4DD-CC29-F011-8C4E-7C1E52469F7D,2025-05-05 16:20:33.0000000,"Rich countries 'owe it to the world' to get themselves down to net zero emissions: Bill Gates ","This is so as to set an example to others that ""there are solutions"" to mitigate the effects of the climate crisis, Gates said.",https://www.cnbc.com/2025/05/05/bill-gates-rich-countries-owe-it-to-the-world-to-achieve-net-zero.html,Global,Not applicable,Not applicable,International,Climate Change Report,2025-05-05 15:56:24.0000000,136.80000000000000000,0,0
FBBEC57F-972A-F011-8C4E-7C1E52469F7D,2025-05-06 16:31:10.0000000,Cutting greenhouse gases will reduce number of deaths from poor air quality,"Up to 250,000 deaths from poor air quality could be prevented annually in central and western Europe by 2050 if greenhouse gas emissions are drastically reduced, say researchers.",https://www.sciencedaily.com/releases/2025/05/250506105342.htm,Central and Western Europe,Not applicable,Not applicable,Region,Climate Change Report,2025-05-06 10:53:42.0000000,79.80000000000000000,0,0
60FC6A84-7C2A-F011-8C4E-7C1E520A55FA,2025-05-06 13:17:58.0000000,Killer fungus forecast to spread to UK,"A killer fungus that infects millions of people a year in hotter climes may soon spread through Europe and into the UK as the world warms further, according to a new study on how climate change spreads disease.",https://news.sky.com/story/killer-fungus-forecast-to-spread-to-uk-as-climate-changes-13362548,Europe and the UK,Not specified,Not specified,Global,Climate Change Report,2025-05-06 13:05:00.0000000,159.60000000000000000,0,0
