dfs_newsanalyticsid,createdon,dfs_title,dfs_description,dfs_sourceurl,dfs_primaryeventlocation,dfs_firsteventcountry,dfs_secondeventcountry,dfs_eventsignificance,dfs_eventcode,dfs_eventdate,dfs_rating,crd69_cyberprocessed,crd69_disasterprocessed
BF48680C-2B24-F011-8C4E-7C1E520A55FA,2025-04-28 12:19:39.0000000,Marc Andreessen Says Crisis Survival Demands 'Lead Bullets' And Pushing Through Late-Night Hours,"<p>Venture capitalist <strong>Marc Andreessen</strong> told Stanford business students a decade ago that CEOs who ""hunt for a magic answer"" in a crisis almost always lose, echoing co-founder <strong>Ben Horowitz&#039;s</strong> blunt maxim: ""There are no silver bullets, only lead bullets.""</p>
<p><strong>What Happened:</strong> The line, lifted from Horowitz&#039;s 2011 <a href=""https://techcrunch.com/2011/10/25/lead-bullets/"">essay</a> ""Lead Bullets,"" argues that survival depends on unglamorous grind — engineers shipping faster builds and sales teams doubling their calls, not one-shot pivots.​</p>
<p>Horowitz first coined the phrase after Netscape&#039;s web server lagged Microsoft&#039;s IIS fivefold and again when rival BladeLogic began poaching Opsware deals; each time, teams won only by out-coding and out-selling the competition. In the essay, he warns founders facing an ""existential threat"" that fleeing the ...</p><p><a href=https://www.benzinga.com/news/management/25/04/4503604",https://www.benzinga.com/news/management/25/04/45036044/marc-andreessen-says-crisis-survival-demands-lead-bullets-and-pushing-through-late-night-hours,Not specified,Not specified,Not specified,Global,Corporate News,2025-04-28 11:55:12.0000000,100.80000000000000000,0,0
12CD51E8-B90E-F011-9989-7C1E520A55FA,2025-04-01 05:26:56.0000000,"RHS develops ‘robust lawn’ that works for people, pollinators and pets","<p>Full of clovers and dandelions, with a hard-wearing rye grass, the approach is environmentally friendly and usable</p><p>Is there a perfect formula for a hard-wearing flower lawn that is good for pollinators, dogs and people?</p><p>The immaculately mowed green has fallen out of favour in recent years owing to its lack of support for biodiversity. But there have also been complaints about the tall wildflower meadows that <a href=""https://www.theguardian.com/environment/article/2024/may/03/no-mow-may-councils-urge-britons-put-away-lawnmowers"">grow during “no mow May”</a> and are less usable for humans and pets.</p> <a href=""https://www.theguardian.com/environment/2025/apr/01/rhs-develops-robust-lawn-that-works-for-people-pollinators-and-pets"">Continue reading...</a>",https://www.theguardian.com/environment/2025/apr/01/rhs-develops-robust-lawn-that-works-for-people-pollinators-and-pets,RHS Develops Robust Lawn,United Kingdom,N/A,Global,Environmental News,2025-04-01 05:00:10.0000000,464.10000000000000000,0,0
9322AA94-5E0A-F011-BAE2-7C1E520A55FA,2025-03-26 16:23:06.0000000,Biodiversity loss in all species and every ecosystem linked to humans – report,"<p>Sweeping synthesis of 2,000 global studies leaves no doubt about scale of problem and role of humans, say experts</p><p>Humans are driving biodiversity loss among all species across the planet, according to a synthesis of more than 2,000 studies.</p><p>The exhaustive global analysis leaves no doubt about the devastating impact humans are having on Earth, according to researchers from the Swiss Federal Institute of Aquatic Science and Technology (Eawag) and the University of Zurich. The study – which accounted for nearly 100,000 sites across all continents – found that human activities had resulted in “unprecedented effects on biodiversity”, <a href=""https://dx.doi.org/10.1038/s41586-025-08752-2"">according to the paper</a>, published in Nature.</p> <a href=""https://www.theguardian.com/environment/2025/mar/26/human-link-biodiversity-loss-species-ecosystems-climate-pollution-eawag-study-nature-aoe"">Continue reading...</a>",https://www.theguardian.com/environment/2025/mar/26/human-link-biodiversity-loss-species-ecosystems-climate-pollution-eawag-study-nature-aoe,Global,N/A,N/A,Global,Environmental News,2025-03-26 16:00:00.0000000,81.90000000000000000,0,0
A529554A-060B-F011-BAE2-7C1E520A55FA,2025-03-27 12:23:39.0000000,How countries cheat their net zero carbon targets – video,"<p>Net zero is a target that countries should be striving for to stop the climate crisis. But beyond the buzzword, it is a complex scientific concept – and if we get it wrong, the planet will keep heating.</p><p></p><p>Biodiversity and environment reporter Patrick Greenfield explains how a loophole in the 2015 Paris climate agreement allows countries to cheat their net zero targets through creative accounting, and how scientists want us to fix it</p> <a href=""https://www.theguardian.com/environment/video/2025/mar/27/how-countries-their-net-zero-carbon-targets-video"">Continue reading...</a>",https://www.theguardian.com/environment/video/2025/mar/27/how-countries-their-net-zero-carbon-targets-video,Global,N/A,N/A,International,Climate Change Report,2025-03-27 11:54:28.0000000,136.80000000000000000,0,0
32021AF0-B805-F011-BAE1-7C1E527DC3AB,2025-03-20 18:27:17.0000000,West Papuan Indigenous people call for KitKat boycott over alleged ecocide,"<p>Thousands of acres of rainforest is being cleared to produce palm oil, used in popular Nestlé and Mondelēz brands</p><p>West Papua’s Indigenous people have called for a boycott of KitKat, Smarties and Aero chocolate, Oreo biscuits and Ritz crackers, and the cosmetics brands Pantene and Herbal Essences, over alleged ecocide in their territory.</p><p>All are products which contain palm oil and are made, say the campaign, by companies that source the ingredient directly from West Papua, which has been under Indonesian control since 1963 and where thousands of acres of rainforest are being cleared for agriculture.</p> <a href=""https://www.theguardian.com/world/2025/mar/20/west-papua-indonesia-palm-oil-deforestation-rainforest"">Continue reading...</a>",https://www.theguardian.com/world/2025/mar/20/west-papua-indonesia-palm-oil-deforestation-rainforest,West Papua,Indonesia,N/A,International,Environmental News,2025-03-20 18:14:29.0000000,365.04000000000000000,0,0
4A7B6FCD-3C0B-F011-BAE2-7C1E520A55FA,2025-03-27 18:53:51.0000000,The Atlantic handled ‘Signalgate’ with good judgment | Margaret Sullivan,"<p>Shining a bright spotlight on this mess was a public service. One can only imagine what other information has been as recklessly handled</p><p>Over the past six months or so, the Atlantic has been assembling more and more reporting talent, including by poaching some of the biggest stars from the troubled Washington Post.</p><p>One of the best intelligence reporters in the country is Shane Harris, who moved from the Post to the Atlantic last summer.</p><p>Margaret Sullivan is a Guardian US columnist writing on media, politics and culture</p> <a href=""https://www.theguardian.com/commentisfree/2025/mar/27/the-atlantic-handled-signalgate-with-good-judgment"">Continue reading...</a>",https://www.theguardian.com/commentisfree/2025/mar/27/the-atlantic-handled-signalgate-with-good-judgment,Atlantic,United States,Not applicable,National,Mainstream Media Corruption,2025-03-27 18:30:00.0000000,405.72000000000000000,0,0
CA46A48C-6A0B-F011-BAE2-7C1E527DC3AB,2025-03-28 00:21:17.0000000,Fungi Vital To Life Face Growing Risk Of Extinction: Study,"Nearly a third of species of fungi assessed by an international conservation group are at risk of extinction from threats like deforestation and agricultural expansion, the latest 'Red List' of threatened species showed on Thursday.",https://www.ndtv.com/world-news/fungi-vital-to-life-face-growing-risk-of-extinction-study-8028198,Global,N/A,N/A,International,Environmental News,2025-03-27 23:38:25.0000000,70.20000000000000000,0,0
A37D0F67-DF0F-F011-9989-7C1E52469F7D,2025-04-02 16:27:52.0000000,I don’t want to die with a freezer full of seeds. It’s time to rethink biodiversity and preservation | Chris Smith,"<p>Hurricane Helene proved a hard truth: a freezer of seeds is the literal version of putting all your eggs in one basket</p><p>About a month after <a href=""https://www.theguardian.com/us-news/hurricane-helene"">Hurricane Helene</a> devastated western North Carolina last fall, Roger Wynn and I met in an Asheville, North Carolina, supermarket parking lot. He’d driven two hours from Little Mountain, South Carolina, where the passing storm had also left its destructive mark.</p><p>“When the power finally came back on,” Wynn said, “two of my freezers didn’t work.” Wynn was worried not about spoiled food inside, but his seed collection. On that autumn day, in an act of forced downsizing and seed philanthropy, Wynn handed over two boxes filled with seeds. He wanted me, as founder of the non-profit Utopian Seed Project, to share the seeds with farmers across the region. The boxes contained a trove of Appalachian varieties: speckled field peas, white mountain half-runner beans, purple-podded b",https://www.theguardian.com/environment/2025/apr/02/seeds-biodiversity-hurricane-helene,Western North Carolina,United States,South Carolina,Local,Agriculture Disruption,2025-04-02 16:00:07.0000000,353.28000000000000000,0,0
D089B787-8E14-F011-998A-7C1E52469E63,2025-04-08 15:31:33.0000000,It’s up to each of us to help save life on Earth – I love this challenge | Bob Brown,"<p>Taking action against species extinction can be risky but it’s better than surrender</p><ul><li>Explore the series – <a href=""https://www.theguardian.com/australia-news/series/last-chance"">Last chance: the extinction crisis being ignored this election</a></li><li><a href=""https://www.theguardian.com/environment/2025/mar/10/sign-up-for-the-clear-air-australia-environment-newsletter-with-adam-morton"">Get Guardian Australia environment editor Adam Morton’s Clear Air column as an email</a></li></ul><p>Extinction. In 1844 Ketill Ketilsson won the race to grab the last pair of great auks. They were nesting on Iceland’s Eldey Island. Millions of these penguin-like birds had been slaughtered for feather-stuffed quilts to keep Europe’s burgeoning human population warm. Ketilsson strangled the two but tripped over and broke their egg. Never mind, he won the reward being offered by museums in Copenhagen for the final specimens.</p><p>A perverse market rule on species had been established: the",https://www.theguardian.com/environment/2025/apr/09/its-up-to-each-of-us-to-help-save-life-on-earth-i-love-this-challenge,Global,Iceland,"Copenhagen, Denmark",International,Environmental News,2025-04-08 15:00:16.0000000,262.08000000000000000,0,0
8E42F247-07FF-EF11-BAE2-7C1E52469F7D,2025-03-12 06:00:23.0000000,What risks does the North Sea tanker collision pose to the environment?,A collision between an oil tanker and cargo ship in the North Sea has raised fears of coastal pollution and damage to marine protected areas.,https://www.abc.net.au/news/2025-03-12/north-sea-oil-spill-environmental-risks/105042174,North Sea,Not applicable,Not applicable,International,Environmental News,2025-03-12 03:33:00.0000000,70.20000000000000000,0,0
